ticker,DropDate,Close,PctChange,up_10.0%_from_drop_date,price_at_up,Days_to_be_up_10.0%_from_drop
EFX,2017-09-14,89.9,-22.74%,2017-09-27,98.99211883544922,13
EFX,2017-09-15,86.47,-24.97%,2017-09-22,97.6900863647461,7
EFX,2017-09-18,87.78,-24.58%,2017-09-22,97.6900863647461,4
EFX,2017-09-19,88.23,-24.91%,2017-09-22,97.6900863647461,3
EFX,2017-09-20,89.28,-20.05%,2017-09-26,98.62939453125,6
EIX,2018-11-15,35.04,-21.33%,2018-11-16,40.42705154418945,1
EIX,2018-11-16,40.43,-21.67%,2019-01-10,44.53664779663086,55
EIX,2020-03-17,39.93,-20.9%,2020-03-26,44.886375427246094,9
EIX,2020-03-18,38.13,-21.67%,2020-03-26,44.886375427246094,8
EL,2024-11-06,62.12,-24.83%,2024-11-22,68.6492691040039,16
EL,2024-11-07,65.1,-21.94%,2024-11-25,71.63359069824219,18
EL,2025-02-10,67.77,-20.03%,2025-06-20,74.90311431884766,130
EMN,2020-03-13,38.42,-21.53%,2020-04-07,43.862857818603516,25
EMN,2020-03-16,33.19,-21.3%,2020-03-25,38.644447326660156,9
EMN,2020-03-17,33.82,-22.39%,2020-03-25,38.644447326660156,8
EMN,2020-03-18,32.04,-21.02%,2020-03-25,38.644447326660156,7
EMR,2020-03-13,44.51,-21.85%,2020-04-27,49.54537582397461,45
ENPH,2023-05-01,160.59,-22.37%,2023-06-01,181.47000122070312,31
ENPH,2023-05-02,152.88,-27.93%,2023-05-15,168.7100067138672,13
ENPH,2023-05-03,155.42,-24.6%,2023-05-30,174.1199951171875,27
ENPH,2023-05-04,155.42,-20.9%,2023-05-30,174.1199951171875,26
ENPH,2023-10-25,94.35,-20.41%,2023-12-01,106.5199966430664,37
ENPH,2023-10-26,96.18,-22.48%,2023-12-01,106.5199966430664,36
ENPH,2023-10-27,82.09,-22.06%,2023-11-14,91.38999938964844,18
ENPH,2023-10-30,78.66,-20.92%,2023-11-14,91.38999938964844,15
ENPH,2024-11-12,60.09,-20.96%,2024-11-22,66.29000091552734,10
ENPH,2024-11-13,60.39,-22.96%,2024-11-25,71.91000366210938,12
ENPH,2024-11-14,63.56,-22.77%,2024-11-25,71.91000366210938,11
ENPH,2024-11-15,59.52,-21.37%,2024-11-22,66.29000091552734,7
ENPH,2025-05-29,39.24,-20.05%,2025-06-03,43.75,5
ENPH,2025-06-24,38.38,-20.52%,2025-06-26,43.0,2
EOG,2020-03-11,30.01,-24.76%,2020-04-08,34.9724006652832,28
EOG,2020-03-12,25.1,-34.54%,2020-03-24,30.73308753967285,12
EOG,2020-03-13,26.87,-39.53%,2020-03-24,30.73308753967285,11
EOG,2020-03-16,24.02,-36.41%,2020-03-20,26.941640853881836,4
EOG,2020-03-17,23.85,-35.44%,2020-03-20,26.941640853881836,3
EOG,2020-03-18,22.98,-32.39%,2020-03-19,25.652088165283203,1
EOG,2020-03-19,25.65,-22.39%,2020-03-24,30.73308753967285,5
EPAM,2022-03-01,211.21,-28.0%,2022-03-02,245.1699981689453,1
EPAM,2022-03-02,245.17,-34.47%,2022-03-16,281.7200012207031,14
EPAM,2022-03-03,212.98,-40.38%,2022-03-16,281.7200012207031,13
EPAM,2022-03-04,198.52,-47.63%,2022-03-14,220.0,10
EPAM,2022-03-07,174.8,-42.66%,2022-03-09,198.41000366210938,2
EPAM,2022-03-08,186.75,-36.44%,2022-03-14,220.0,6
EPAM,2022-03-09,198.41,-32.01%,2022-03-14,220.0,5
EPAM,2022-03-10,188.76,-24.79%,2022-03-14,220.0,4
EPAM,2024-05-15,190.48,-23.82%,2024-07-17,211.30999755859375,63
EQT,2018-10-29,15.65,-21.77%,2018-11-01,17.61036491394043,3
EQT,2018-10-30,16.6,-24.24%,2018-12-11,18.84220314025879,42
EQT,2018-10-31,17.15,-24.81%,2019-01-08,18.907245635986328,69
EQT,2018-11-01,17.61,-20.95%,2019-01-15,19.46470832824707,75
ESS,2020-03-20,160.23,-22.89%,2020-03-26,178.4838104248047,6
ESS,2020-03-23,148.72,-22.78%,2020-03-25,163.85093688964844,2
ESS,2020-03-24,153.44,-23.03%,2020-03-26,178.4838104248047,2
ETR,2020-03-18,35.19,-20.18%,2020-03-26,39.38003921508789,8
ETR,2020-03-20,32.57,-20.71%,2020-03-25,36.2242546081543,5
